URL;Name;Category;Address;City;Region;Postal Code;Google Maps;Phone;Site;Fax;Contact Name;Contact Title;Contact Phone;Email
https://business.edmontonchamber.com/list/member/5-star-promotional-advertising-16211;5 Star Promotional Advertising;Promotional Products;14403 115 Avenue;Edmonton;Alberta;T5M 3B8;https://www.google.com/maps?q=14403%20115%20Avenue,%20Edmonton,%20Alberta,%20T5M%203B8;(780) 415-7827;http://www.fivestarpromo.com/;null;Spencer Goodale;VP Marketing;(780) 415-7827;null
https://business.edmontonchamber.com/list/member/pm-electric-corporation-14818;PM Electric Corporation;Signage;12925 148 Street NW;Edmonton;Alberta;T5L 2H9;https://www.google.com/maps?q=12925%20148%20Street%20NW,%20Edmonton,%20Alberta,%20T5L%202H9;(780) 454-6490;http://pmsigns.ca/;(780) 451-0337;null;null;null;null
https://business.edmontonchamber.com/list/member/elite-promotional-marketing-elite-sportswear-awards-ltd-15090;Elite Promotional Marketing (Elite Sportswear & Awards Ltd.);Promotional Products;14703 118 Avenue NW;Edmonton;Alberta;T5L 2M7;https://www.google.com/maps?q=14703%20118%20Avenue%20NW,%20Edmonton,%20Alberta,%20T5L%202M7;(780) 454-9775;https://elitepromomarketing.com/;(780) 451-1034;null;null;null;null
https://business.edmontonchamber.com/list/member/zag-16209;zag;Marketing;301 10154 104 Street NW;Edmonton;Alberta;T5J 1A7;https://www.google.com/maps?q=301%2010154%20104%20Street%20NW,%20Edmonton,%20Alberta,%20T5J%201A7;(780) 758-2924;https://atozag.ca;null;null;null;null;info@atozag.ca
https://business.edmontonchamber.com/list/member/ddb-canada-14832;DDB Canada;Advertising & Media;1900 10025 102A Avenue;Edmonton;Alberta;T5J 2Z2;https://www.google.com/maps?q=1900%2010025%20102A%20Avenue,%20Edmonton,%20Alberta,%20T5J%202Z2;(780) 424-7000;http://ddb.ca;(780) 423-0602;null;null;null;toronto.bizdev@ddbcanada.com
https://business.edmontonchamber.com/list/member/william-huff-advertising-15157;William Huff Advertising;Advertising & Media;11240 154 Street NW;Edmonton;Alberta;T5M 1X7;https://www.google.com/maps?q=11240%20154%20Street%20NW,%20Edmonton,%20Alberta,%20T5M%201X7;(780) 454-4536;http://www.williamhuff.com;(780) 455-7096;null;null;null;null
https://business.edmontonchamber.com/list/member/postmedia-14701;Postmedia;Advertising & Media;10006 101 Street;Edmonton;Alberta;T5J 0S1;https://www.google.com/maps?q=10006%20101%20Street,%20Edmonton,%20Alberta,%20T5J%200S1;(780) 429-5191;http://www.postmediasolutions.com/;null;null;null;null;null
https://business.edmontonchamber.com/list/member/globel-canada-inc-21735;Globel Canada Inc.;Marketing;9720 106 St Unit 805;Edmonton;Alberta;T5K 0K8;https://www.google.com/maps?q=9720%20106%20St%20Unit%20805,%20Edmonton,%20Alberta,%20T5K%200K8;(780) 968-9105;http://www.globelcanada.com/;null;null;null;null;info@globelcanada.com
https://business.edmontonchamber.com/list/member/road-55-28813;Road 55;Marketing; 10015 103 Ave NW #29;Edmonton;AB;T5J 0H1;https://www.google.com/maps?q=%2010015%20103%20Ave%20NW%20#29,%20Edmonton,%20AB,%20T5J%200H1;(780) 999-4667;https://road55.ca/;null;Mr. Rob LeLacheur;Owner;(780) 999-4667;null
https://business.edmontonchamber.com/list/member/corus-television-l-p-global-edmonton-14631;Corus Television L.P. Global Edmonton;Advertising & Media;5325 Allard Way NW;Edmonton;Alberta;T6H 5B8;https://www.google.com/maps?q=5325%20Allard%20Way%20NW,%20Edmonton,%20Alberta,%20T6H%205B8;(780) 436-1250;http://www.globaltv.com;null;null;null;null;webmaster@globaltv.com
